,dataset,metric,K,BPR_none,BPR_full,BPR_ui,BPR_anchor,LightGCN_none,LightGCN_full,LightGCN_ui,LightGCN_anchor,LRGCCF_none,LRGCCF_full,LRGCCF_ui,LRGCCF_anchor,DirectAU_none,SimpleX_none,NCL_none
0,ml-100k,recall,20,0.3721,0.3753,0.3757,0.3781,0.3855,0.4015,0.4027,0.3763,0.3711,0.3777,0.3669,0.3731,0.2384,0.3461,0.3949
1,ml-100k,recall,50,0.5662,0.5636,0.5694,0.5624,0.5747,0.5969,0.5903,0.576,0.5609,0.5708,0.5592,0.5612,0.3934,0.5431,0.5761
2,ml-100k,recall,100,0.7174,0.7127,0.7186,0.7222,0.7313,0.7366,0.7358,0.7267,0.7139,0.7181,0.7154,0.7059,0.5458,0.6828,0.7327
3,ml-100k,ndcg,20,0.3108,0.323,0.3193,0.3179,0.3295,0.3457,0.3511,0.3219,0.3202,0.3283,0.3151,0.32,0.1779,0.295,0.3386
4,ml-100k,ndcg,50,0.372,0.3821,0.3805,0.3759,0.3895,0.4076,0.4096,0.385,0.3801,0.3898,0.3761,0.3793,0.2281,0.3558,0.3957
5,ml-100k,ndcg,100,0.4221,0.4316,0.4299,0.4277,0.4415,0.4553,0.4584,0.435,0.4302,0.4382,0.4271,0.4277,0.2741,0.4009,0.4471
0,ml-1m,recall,20,0.2555,0.2984,0.2822,0.2494,0.2709,0.2977,0.2909,0.2622,0.2566,0.2973,0.2829,,0.2377,0.2483,0.2896
1,ml-1m,recall,50,0.4133,0.4645,0.437,0.4108,0.4354,0.461,0.4506,0.4265,0.4149,0.4576,0.4413,,0.3769,0.4073,0.4565
2,ml-1m,recall,100,0.5567,0.6024,0.5742,0.5567,0.5794,0.5986,0.5923,0.5751,0.5559,0.5926,0.5814,,0.4995,0.5559,0.5995
3,ml-1m,ndcg,20,0.2689,0.3007,0.2852,0.26,0.2784,0.3054,0.297,0.2682,0.2699,0.3028,0.2833,,0.2205,0.2613,0.2983
4,ml-1m,ndcg,50,0.3074,0.344,0.3255,0.3007,0.3194,0.3464,0.337,0.3105,0.3085,0.344,0.3256,,0.2611,0.301,0.3397
5,ml-1m,ndcg,100,0.3545,0.3912,0.3724,0.3488,0.3673,0.3928,0.3846,0.3598,0.3555,0.3898,0.3738,,0.3024,0.3495,0.3876
0,lastfm,recall,20,0.2414,0.2903,0.2685,0.2223,0.2671,0.2933,0.2763,0.2714,0.2339,0.2873,0.2723,0.2283,0.2357,0.2298,0.2864
1,lastfm,recall,50,0.3602,0.4058,0.3795,0.3418,0.3947,0.4169,0.3971,0.405,0.3491,0.4136,0.3948,0.3462,0.3572,0.3399,0.4198
2,lastfm,recall,100,0.4592,0.49,0.4635,0.4446,0.5063,0.5131,0.4936,0.5115,0.4449,0.5064,0.4899,0.4538,0.4603,0.4361,0.5224
3,lastfm,ndcg,20,0.1952,0.2372,0.2219,0.1715,0.2161,0.2421,0.2277,0.2164,0.1878,0.2365,0.224,0.1868,0.1798,0.1705,0.2372
4,lastfm,ndcg,50,0.2348,0.2758,0.259,0.2116,0.2587,0.2835,0.2682,0.2612,0.2262,0.2789,0.2649,0.2262,0.2204,0.2072,0.2819
5,lastfm,ndcg,100,0.2619,0.2989,0.282,0.2396,0.2892,0.3098,0.2946,0.2904,0.2526,0.3044,0.291,0.2556,0.2486,0.2336,0.31
0,magazine,recall,20,0.2917,0.4276,0.4046,0.3517,0.3848,0.4116,0.426,0.411,0.3674,0.4536,0.4261,0.3435,0.4076,0.4175,0.378
1,magazine,recall,50,0.3491,0.5038,0.4676,0.4471,0.4451,0.4954,0.5091,0.4962,0.4251,0.5382,0.4969,0.4478,0.4684,0.5006,0.4401
2,magazine,recall,100,0.3884,0.574,0.5326,0.5394,0.5008,0.5805,0.577,0.5713,0.4806,0.6071,0.5608,0.5038,0.5388,0.5808,0.5102
3,magazine,ndcg,20,0.1827,0.3437,0.3349,0.2039,0.3036,0.3289,0.3395,0.3203,0.2793,0.3484,0.3496,0.2032,0.3342,0.3411,0.2944
4,magazine,ndcg,50,0.1944,0.3588,0.3474,0.2227,0.3156,0.3453,0.356,0.3371,0.2907,0.3652,0.3636,0.2237,0.3462,0.3575,0.3067
5,magazine,ndcg,100,0.2007,0.3702,0.3579,0.2377,0.3246,0.3591,0.3671,0.3493,0.2996,0.3764,0.374,0.2329,0.3576,0.3704,0.318
0,pinterest,recall,20,0.1427,0.1635,0.1548,0.1502,0.1614,0.1658,0.1614,0.1627,0.147,0.1638,0.1603,0.1338,0.1851,0.1673,0.1831
1,pinterest,recall,50,0.2614,0.2927,0.2755,0.2717,0.288,0.2968,0.2915,0.2891,0.263,0.2934,0.2876,0.2473,0.3156,0.2856,0.3118
2,pinterest,recall,100,0.3908,0.427,0.4054,0.4016,0.4205,0.4322,0.4273,0.4178,0.3872,0.4296,0.4216,0.3727,0.445,0.4001,0.4392
3,pinterest,ndcg,20,0.0719,0.0852,0.0819,0.0751,0.0837,0.0861,0.0828,0.0813,0.0754,0.0854,0.0837,0.068,0.1002,0.0893,0.0975
4,pinterest,ndcg,50,0.1012,0.1171,0.1118,0.1052,0.1149,0.1185,0.115,0.1126,0.1042,0.1174,0.1152,0.0961,0.1325,0.1186,0.1294
5,pinterest,ndcg,100,0.1275,0.1444,0.1381,0.1316,0.1419,0.1459,0.1425,0.1388,0.1294,0.1451,0.1424,0.1216,0.1588,0.1418,0.1553
