,dataset,metric,K,BPR_none,BPR_full,BPR_ui,BPR_anchor,LightGCN_none,LightGCN_full,LightGCN_ui,LightGCN_anchor,LRGCCF_none,LRGCCF_full,LRGCCF_ui,LRGCCF_anchor,DirectAU_none,MAWU_none,SimpleX_none,DiffRec_none,NCL_none,SGL_none
0,ml-100k,recall,20,0.363,0.3771,0.369,0.3615,0.3811,0.3995,0.3995,0.375,0.3716,0.3751,0.3696,0.3785,0.2886,0.2598,0.3589,0.387,0.3944,0.3858
1,ml-100k,recall,50,0.5652,0.5683,0.5681,0.5656,0.5777,0.5976,0.596,0.5755,0.5624,0.5713,0.5623,0.5694,0.4523,0.4018,0.5469,0.5704,0.5925,0.5811
2,ml-100k,recall,100,0.7183,0.7149,0.7103,0.7164,0.726,0.7317,0.7316,0.7217,0.7144,0.7171,0.7174,0.7119,0.5932,0.5027,0.6877,0.7019,0.7274,0.7315
3,ml-100k,ndcg,20,0.3065,0.3224,0.3189,0.3038,0.3184,0.344,0.3425,0.3193,0.317,0.3252,0.3167,0.3217,0.22,0.1809,0.3051,0.3349,0.3333,0.3246
4,ml-100k,ndcg,50,0.3698,0.3824,0.3808,0.3672,0.3797,0.4059,0.4044,0.3818,0.3771,0.3853,0.3772,0.3814,0.2729,0.2279,0.363,0.3928,0.3954,0.3866
5,ml-100k,ndcg,100,0.4196,0.4303,0.4276,0.4166,0.4287,0.4515,0.4501,0.4296,0.4268,0.4336,0.4281,0.4286,0.3175,0.2583,0.408,0.4369,0.4408,0.436
0,ml-1m,recall,20,0.2546,0.2987,0.2833,0.2467,0.2708,0.2994,0.2883,0.2541,0.2584,0.2992,0.2845,0.2482,0.2466,0.2445,0.2527,0.3036,0.2866,0.2759
1,ml-1m,recall,50,0.4107,0.4606,0.4441,0.4075,0.4341,0.4606,0.4503,0.4204,0.4184,0.4603,0.4435,0.407,0.3897,0.3787,0.4095,0.463,0.4535,0.4371
2,ml-1m,recall,100,0.551,0.5941,0.5792,0.5528,0.5802,0.5963,0.5895,0.5672,0.5609,0.592,0.5756,0.5496,0.5129,0.4954,0.5571,0.595,0.5921,0.5807
3,ml-1m,ndcg,20,0.2705,0.3051,0.288,0.2562,0.2761,0.3074,0.2953,0.2563,0.2698,0.3067,0.2888,0.258,0.2363,0.22,0.266,0.3136,0.2988,0.2838
4,ml-1m,ndcg,50,0.3084,0.3465,0.3308,0.2967,0.318,0.3478,0.3363,0.3003,0.3096,0.3474,0.33,0.2976,0.2765,0.2623,0.3046,0.3529,0.3402,0.3242
5,ml-1m,ndcg,100,0.3551,0.3917,0.3772,0.3446,0.367,0.3936,0.3835,0.3494,0.3571,0.3924,0.3755,0.3447,0.3179,0.3019,0.3532,0.3973,0.3869,0.3723
0,lastfm,recall,20,0.2452,0.2876,0.2693,0.2286,0.2709,0.2929,0.277,0.2783,0.2318,0.2851,0.2735,0.2411,0.2735,0.2593,0.2431,0.1483,0.286,
